,опыт работы,регион,пол,возраст,образование,вуз,язык,занятость,желаемая з/п,Последнее место работы
267,18 лет,Москва,Мужчина,71 год,Высшее образование,"Московский автомобильно-дорожный государственный технический университет, Москва",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,65 000 ₽ на руки,Декабрь 2005 — по настоящее время18 лет 6 месяцев
268,26 лет,Москва,Мужчина,49 лет,Высшее образование,МЭСИ,Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа",195 000 ₽ на руки,Март 2018 — по настоящее время6 лет 3 месяца
269,12 лет,Тюмень,Женщина,38 лет,Высшее образование,"Тюменский индустриальный университет, Тюмень",Русский — Родной Английский — C1 — Продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа, стажировка",35 000 ₽ на руки,Декабрь 2011 — по настоящее время12 лет 6 месяцев
270,7 лет,Ессентуки,Мужчина,29 лет,Высшее образование (Бакалавр),"Южно-Российский государственный технический университет (Новочеркасский политехнический институт), Новочеркасск",Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость, проектная работа, стажировка",25 000 ₽ на руки,Декабрь 2016 — по настоящее время7 лет 6 месяцев
271,9 лет,Москва,Мужчина,30 лет,Неоконченное высшее образование,"Московский авиационный институт (национальный исследовательский университет), Москва",Русский — Родной Английский — C2 — В совершенстве Немецкий — A1 — Начальный,"Занятость: полная занятость, частичная занятость, проектная работа",350 000 ₽ на руки,Сентябрь 2014 — по настоящее время9 лет 9 месяцев
272,24 года,Кемерово,Мужчина,51 год,Высшее образование,СГИУ (Новокузнец),Русский — Родной,Занятость: полная занятость,2 000 $ на руки,Июнь 2018 — по настоящее время6 лет
273,1 год,Москва,Мужчина,28 лет,Высшее образование (Магистр),"Московский государственный технический университет радиотехники, электроники и автоматики, Москва",Русский — Родной,Занятость: полная занятость,80 000 ₽ на руки,Август 2019 — Июнь 202011 месяцев
274,13 лет,Москва,Мужчина,39 лет,Высшее образование (Бакалавр),"Современная гуманитарная академия, Москва",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: частичная занятость, проектная работа",80 000 ₽ на руки,Февраль 2015 — по настоящее время9 лет 4 месяца
275,14 лет,Москва,Мужчина,37 лет,Высшее образование,"Московский государственный университет им. М.В. Ломоносова, Москва",Русский — Родной,Занятость: полная занятость,60 000 ₽ на руки,Март 2010 — по настоящее время14 лет 3 месяца
276,24 года,Бердск,Мужчина,52 года,Высшее образование,Омский государственный университет,Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,80 000 ₽ на руки,Сентябрь 2011 — по настоящее время12 лет 9 месяцев
277,20 лет,Великий Новгород,Мужчина,44 года,Неоконченное высшее образование,НовГУ,Английский — C2 — В совершенстве,Занятость: полная занятость,20 000 ₽ на руки,Декабрь 2003 — по настоящее время20 лет 6 месяцев
278,7 лет,Киров (Кировская область),Мужчина,29 лет,Образование,,Русский — Родной,"Занятость: полная занятость, частичная занятость, проектная работа",300 000 ₽ на руки,Январь 2017 — по настоящее время7 лет 5 месяцев
279,14 лет,Краснодар,Мужчина,41 год,Высшее образование,"Ростовский государственный строительный университет, Ростов-на-Дону",Русский — Родной Английский — A2 — Элементарный,"Занятость: частичная занятость, проектная работа",40 000 ₽ на руки,Январь 2010 — по настоящее время14 лет 5 месяцев
280,9 лет,Москва,Мужчина,30 лет,Среднее специальное образование,ПАО Электростальский колледж,Русский — Родной Английский — C2 — В совершенстве,"Занятость: полная занятость, частичная занятость, проектная работа",40 000 ₽ на руки,Август 2018 — по настоящее время5 лет 10 месяцев
281,8 месяцев,Екатеринбург,Мужчина,31 год,Среднее специальное образование,Нти нияу мифи,Английский — A1 — Начальный,Занятость: полная занятость,35 000 ₽ на руки,Февраль 2015 — Сентябрь 20158 месяцев
282,4 года,Москва,Женщина,27 лет,Высшее образование,Российский государственный социальный университет,Русский — Родной,Занятость: полная занятость,70 000 ₽ на руки,Март 2021 — по настоящее время3 года 3 месяца
283,4 года,Казань,Мужчина,38 лет,Высшее образование,"Казанский национальный исследовательский технический университет им. А.Н. Туполева, Казань",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,15 000 ₽ на руки,Июнь 2012 — Июнь 20164 года 1 месяц
284,2 года,Вологда,Мужчина,34 года,Высшее образование,"Вологодский государственный педагогический университет, Вологда",Русский — Родной Английский — C2 — В совершенстве,Занятость: полная занятость,40 000 ₽ на руки,Июль 2012 — Декабрь 20142 года 6 месяцев
285,12 лет,Москва,Мужчина,33 года,Неоконченное высшее образование,"Московский государственный университет им. М.В. Ломоносова, Москва",Русский — Родной Английский — A2 — Элементарный,Занятость: полная занятость,200 000 ₽ на руки,Ноябрь 2022 — по настоящее время1 год 7 месяцев
286,1 год,Саратов,Мужчина,26 лет,Среднее специальное образование,ППК СГТУ,Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: частичная занятость, проектная работа, стажировка",20 000 ₽ на руки,Декабрь 2015 — Июль 20171 год 8 месяцев
287,1 год,Москва,Мужчина,29 лет,Высшее образование,"Национальный исследовательский технологический университет ""МИСиС"" , Москва",Русский — Родной Английский — A2 — Элементарный,Занятость: полная занятость,150 000 ₽ на руки,Март 2023 — по настоящее время1 год 3 месяца
288,9 лет,Санкт-Петербург,Мужчина,31 год,Высшее образование,Санкт-Петербургский государственный политехнический университет,Русский — Родной Английский — B1 — Средний,"Занятость: полная занятость, частичная занятость",1 000 $ на руки,Декабрь 2009 — Декабрь 20189 лет 1 месяц
289,11 лет,Армавир,Мужчина,33 года,Высшее образование,ФГБОУ ВПО Армавирская Государственная Педагогическая Академия,Английский — B2 — Средне-продвинутый,Занятость: полная занятость,20 000 ₽ на руки,Сентябрь 2013 — по настоящее время10 лет 9 месяцев
290,3 года,Москва,Мужчина,42 года,Высшее образование,Московская Государственная Академия Приборостроения и Информатики,Английский — B2 — Средне-продвинутый,Занятость: полная занятость,80 000 ₽ на руки,Март 2007 — Июль 20103 года 5 месяцев
291,11 лет,Миасс,Мужчина,40 лет,Высшее образование,"Южно-Уральский государственный университет (Национальный исследовательский университет), Челябинск",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,150 000 ₽ на руки,Сентябрь 2021 — по настоящее время2 года 9 месяцев
292,12 лет,Москва,Мужчина,30 лет,Среднее специальное образование,Zakladni skola korenskeho Praha 5,Русский — Родной Английский — B1 — Средний Немецкий — A1 — Начальный Украинский — B2 — Средне-продвинутый Чешский — C2 — В совершенстве,"Занятость: полная занятость, частичная занятость, проектная работа, стажировка",160 000 ₽ на руки,Январь 2012 — по настоящее время12 лет 5 месяцев
293,6 лет,Нижний Новгород,Женщина,27 лет,Среднее образование,СОШ 179,Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость",100 000 ₽ на руки,Май 2019 — по настоящее время5 лет 1 месяц
294,1 год,Белгород,Мужчина,29 лет,Среднее специальное образование,Белгородский политехнический колледж,Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,20 000 ₽ на руки,Сентябрь 2015 — Декабрь 20161 год 4 месяца
295,12 лет,Москва,Мужчина,47 лет,Высшее образование,"Национальный исследовательский ядерный университет ""МИФИ"", Москва",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость",50 000 ₽ на руки,Январь 2008 — Июнь 20157 лет 6 месяцев
296,11 лет,Екатеринбург,Мужчина,35 лет,Высшее образование (Магистр),"Уральский федеральный университет имени первого Президента России Б.Н. Ельцина, Екатеринбург",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа, стажировка",120 000 ₽ на руки,Октябрь 2020 — по настоящее время3 года 8 месяцев
297,6 лет,Хотьково,Мужчина,35 лет,Высшее образование (Бакалавр),"Институт мировой экономики и информатизации, Москва",Русский — Родной Английский — A2 — Элементарный,"Занятость: полная занятость, проектная работа, стажировка",100 000 ₽ на руки,Август 2017 — по настоящее время6 лет 10 месяцев
298,2 года,Новосибирск,Мужчина,23 года,Неоконченное высшее образование,СибГУТИ,Русский — Родной Английский — A2 — Элементарный,"Занятость: полная занятость, проектная работа",130 000 ₽ на руки,Декабрь 2021 — Август 20229 месяцев
299,4 месяца,Фрязино,Мужчина,34 года,Среднее специальное образование,Колледж предпринимательства №11,Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,40 000 ₽ на руки,Июнь 2012 — Сентябрь 20124 месяца
300,2 года,Челябинск,Женщина,24 года,Высшее образование,"Челябинский государственный университет, Челябинск",Русский — Родной Английский — B1 — Средний,Занятость: полная занятость,1 000 $ на руки,Июнь 2022 — Октябрь 20231 год 5 месяцев
301,32 года,Казань,Мужчина,56 лет,Высшее образование,"Казанский (Приволжский) федеральный университет, Казань",Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, проектная работа, стажировка",150 000 ₽ на руки,Август 2021 — по настоящее время2 года 10 месяцев
302,8 лет,Санкт-Петербург,Мужчина,28 лет,Высшее образование,Горный,Русский — Родной,"Занятость: полная занятость, частичная занятость, проектная работа",70 000 ₽ на руки,Август 2017 — по настоящее время6 лет 10 месяцев
303,7 лет,Екатеринбург,Мужчина,27 лет,Образование,,Русский — Родной,"Занятость: полная занятость, частичная занятость",55 000 ₽ на руки,Март 2019 — по настоящее время5 лет 3 месяца
304,4 года,Санкт-Петербург,Мужчина,45 лет,Неоконченное высшее образование,"Петербургский государственный университет путей сообщения, Санкт-Петербург",Русский — Родной Английский — B1 — Средний,"Занятость: полная занятость, частичная занятость, проектная работа, стажировка",70 000 ₽ на руки,Сентябрь 2021 — по настоящее время2 года 9 месяцев
305,10 лет,Санкт-Петербург,Мужчина,29 лет,Высшее образование (Магистр),"Санкт-Петербургский политехнический университет Петра Великого, Санкт-Петербург",Арабский — Родной Английский — C2 — В совершенстве Русский — C1 — Продвинутый,"Занятость: полная занятость, частичная занятость",130 000 ₽ на руки,Ноябрь 2016 — по настоящее время7 лет 7 месяцев
306,20 лет,Мурманск,Мужчина,47 лет,Высшее образование,"Мурманский государственный гуманитарный университет, Мурманск",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,45 000 ₽ на руки,Май 2011 — по настоящее время13 лет 1 месяц
307,13 лет,Самара,Мужчина,36 лет,Высшее образование,"Оренбургский государственный университет, Оренбург",Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость, проектная работа",220 000 ₽ на руки,Февраль 2018 — по настоящее время6 лет 4 месяца
308,6 месяцев,Тюмень,Мужчина,33 года,Высшее образование,"Сибирский институт бизнеса и информационных технологий, Омск",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,25 000 ₽ на руки,Февраль 2014 — Июль 20146 месяцев
309,7 лет,Москва,Мужчина,30 лет,Высшее образование,"Московский государственный технический университет им. Н.Э. Баумана, Москва",Русский — Родной Английский — B1 — Средний,Занятость: частичная занятость,30 000 ₽ на руки,Сентябрь 2020 — по настоящее время3 года 9 месяцев
310,33 года,Москва,Мужчина,,Высшее образование,"Московский авиационный институт (национальный исследовательский университет), Москва",Русский — Родной Английский — C1 — Продвинутый,Занятость: полная занятость,300 000 ₽ на руки,Август 2016 — по настоящее время7 лет 10 месяцев
311,38 лет,Чебоксары,Мужчина,60 лет,Высшее образование,Чувашский Государственный университет им. И.Н. Ульянов,Немецкий — A1 — Начальный,Занятость: полная занятость,60 000 ₽ на руки,Ноябрь 2008 — по настоящее время15 лет 7 месяцев
312,16 лет,Иваново (Ивановская область),Женщина,39 лет,Высшее образование,"Ивановский государственный энергетический университет им. В.И. Ленина, Иваново (Ивановская область)",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,50 000 ₽ на руки,Ноябрь 2015 — по настоящее время8 лет 7 месяцев
313,16 лет,Нижний Новгород,Мужчина,41 год,Высшее образование,ВВАГС (Волго-Вятская Академия государственной службы,Русский — Родной Английский — C1 — Продвинутый,Занятость: полная занятость,60 000 ₽ на руки,Июнь 2022 — Август 20231 год 3 месяца
314,6 лет,Хоринск,Женщина,38 лет,Высшее образование,"Сибирский государственный университет телекоммуникаций и информатики, Новосибирск",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,20 000 ₽ на руки,Июнь 2020 — по настоящее время4 года
315,11 лет,Москва,Мужчина,30 лет,Высшее образование,"Московская гуманитарно-техническая академия, Москва",Русский — Родной Английский — C1 — Продвинутый,Занятость: полная занятость,180 000 ₽ на руки,Июнь 2019 — по настоящее время5 лет
316,5 лет,Красноярск,Мужчина,29 лет,Среднее специальное образование,Красноярский Колледж Радиоэлектроники и Информационных Технологий,Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа",85 000 ₽ на руки,Ноябрь 2021 — по настоящее время2 года 7 месяцев
317,32 года,Ульяновск,Женщина,55 лет,Высшее образование,"Ульяновский Политехнический институт, Ульяновск",Русский — Родной,Занятость: полная занятость,75 000 ₽ на руки,Июнь 2021 — по настоящее время3 года
318,4 года,Армения,Мужчина,39 лет,Высшее образование,Политехничаский инсититут,Армянский — Родной Английский — A1 — Начальный Русский — C1 — Продвинутый,Занятость: полная занятость,160 000 ₽ на руки,Июнь 2021 — Июль 20221 год 2 месяца
319,13 лет,Белгород,Мужчина,32 года,Образование,,Русский — C2 — В совершенстве,Занятость: полная занятость,10 000 ₽ на руки,Январь 2011 — по настоящее время13 лет 5 месяцев
320,11 лет,Москва,Мужчина,33 года,Высшее образование,"Дагестанский государственный технический университет, Махачкала",Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость",220 000 ₽ на руки,Август 2021 — Июль 20232 года
321,9 лет,Казань,Мужчина,,Высшее образование,"Казанский национальный исследовательский технический университет им. А.Н. Туполева, Казань",Русский — Родной,Занятость: полная занятость,46 000 ₽ на руки,Январь 2015 — по настоящее время9 лет 5 месяцев
322,10 лет,Саратов,Мужчина,38 лет,Высшее образование,"Саратовский государственный технический университет им. Ю.А. Гагарина, Саратов",Русский — Родной Английский — A2 — Элементарный,Занятость: полная занятость,100 000 ₽ на руки,Февраль 2015 — по настоящее время9 лет 4 месяца
323,23 года,Ростов-на-Дону,Мужчина,59 лет,Высшее образование,Томский Политехнический,Русский — Родной Английский — B1 — Средний,Занятость: полная занятость,100 000 ₽ на руки,Март 2021 — по настоящее время3 года 3 месяца
324,20 лет,Орехово-Зуево,Мужчина,45 лет,Высшее образование,"Московский государственный технический университет им. Н.Э. Баумана, Москва",Русский — Родной Английский — A2 — Элементарный Немецкий — A2 — Элементарный,"Занятость: полная занятость, частичная занятость",230 000 ₽ на руки,Декабрь 2022 — по настоящее время1 год 6 месяцев
325,2 года,Москва,Женщина,23 года,Высшее образование (Бакалавр),НИЯУ МИФИ,Русский — Родной Английский — B1 — Средний Японский — A1 — Начальный,Занятость: полная занятость,150 000 ₽ на руки,Август 2021 — по настоящее время2 года 10 месяцев
326,9 лет,Пермь,Мужчина,30 лет,Среднее специальное образование,Пермский авиационный техникум им. А.Д. Швецова,Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,90 000 ₽ на руки,Июнь 2021 — по настоящее время3 года
327,7 лет,Санкт-Петербург,Мужчина,24 года,Образование,,Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: частичная занятость, проектная работа",10 000 ₽ на руки,Июль 2016 — по настоящее время7 лет 11 месяцев
328,1 год,Симферополь,Мужчина,21 год,Среднее специальное образование,"Гуманитарно-педагогическая академия (филиал) ФГАОУ ВО «КФУ им. В.И. Вернадского», Симферополь",Русский — Родной Английский — B1 — Средний Украинский — B2 — Средне-продвинутый,Занятость: полная занятость,50 000 ₽ на руки,Сентябрь 2023 — Декабрь 20234 месяца
329,15 лет,Тольятти,Мужчина,57 лет,Образование,WAYUP —  сообщество успешных фрилансеров под руководством Андрея Гаврилова,Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость, проектная работа, стажировка",30 000 ₽ на руки,Октябрь 2020 — по настоящее время3 года 8 месяцев
330,2 года,Москва,Мужчина,37 лет,Неоконченное высшее образование,Тюменский  государственный нефтегазовый университет,Английский — A1 — Начальный Русский — B2 — Средне-продвинутый,Занятость: полная занятость,20 000 ₽ на руки,Май 2005 — Август 20072 года 4 месяца
331,18 лет,Новороссийск,Мужчина,41 год,Высшее образование,"Омский государственный технический университет, Омск",Русский — Родной Немецкий — A1 — Начальный,"Занятость: полная занятость, частичная занятость, проектная работа",150 000 ₽ на руки,Март 2022 — по настоящее время2 года 3 месяца
332,2 года,Москва,Мужчина,29 лет,Неоконченное высшее образование,"Кировская государственная медицинская академия, Киров (Кировская область)",Русский — Родной Английский — B1 — Средний,Занятость: полная занятость,250 000 ₽ на руки,Февраль 2023 — по настоящее время1 год 4 месяца
333,7 лет,Москва,Мужчина,30 лет,Неоконченное высшее образование,"Филиал Компьютерной академии ""ШАГ"", Киев",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,45 000 ₽ на руки,Январь 2019 — по настоящее время5 лет 5 месяцев
334,19 лет,Казань,Мужчина,37 лет,Образование,"""Повышение продаж рекламных услуг"" (тренинг)",Немецкий — A1 — Начальный Русский — B2 — Средне-продвинутый,Занятость: полная занятость,20 000 ₽ на руки,Март 2006 — по настоящее время18 лет 3 месяца
335,2 года,Пермь,Мужчина,24 года,Неоконченное высшее образование,"Пермский национальный исследовательский политехнический университет, Пермь",Русский — Родной Английский — A2 — Элементарный,Занятость: полная занятость,170 000 ₽ на руки,Ноябрь 2022 — по настоящее время1 год 7 месяцев
336,31 год,Калининград,Мужчина,61 год,Высшее образование,"Белорусский государственный университет им. В.И. Ленина, Минск",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,50 000 ₽ на руки,Декабрь 2010 — по настоящее время13 лет 6 месяцев
337,18 лет,Пушкино (Московская область),Мужчина,38 лет,Высшее образование (Бакалавр),"Московский государственный университет приборостроения и информатики, Москва",Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, проектная работа",80 000 ₽ на руки,Февраль 2020 — по настоящее время4 года 4 месяца
338,2 года,Москва,Мужчина,26 лет,Высшее образование (Бакалавр),"Российский химико-технологический университет им. Д.И. Менделеева, Москва",Русский — Родной Английский — B1 — Средний,"Занятость: полная занятость, частичная занятость, проектная работа",100 000 ₽ на руки,Август 2021 — по настоящее время2 года 10 месяцев
339,4 года,Пермь,Мужчина,23 года,Образование,,Русский — Родной,Занятость: полная занятость,30 000 ₽ на руки,Январь 2020 — по настоящее время4 года 5 месяцев
340,21 год,Уфа,Мужчина,40 лет,Высшее образование,"Юридический институт Восточной экономико-юридической гуманитарной академии, Уфа",Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость, проектная работа",120 000 ₽ на руки,Январь 2003 — по настоящее время21 год 5 месяцев
341,17 лет,Санкт-Петербург,Мужчина,47 лет,Высшее образование,"Санкт-Петербургский государственный университет, Санкт-Петербург",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа",110 000 ₽ на руки,Январь 2007 — по настоящее время17 лет 5 месяцев
342,4 года,Москва,Мужчина,24 года,Неоконченное высшее образование,Московский государственный гуманитарно-экономический университет,Русский — Родной,Занятость: полная занятость,60 000 ₽ на руки,Сентябрь 2019 — по настоящее время4 года 9 месяцев
343,32 года,Махачкала,Мужчина,,Высшее образование,"Дагестанский государственный институт народного хозяйства, Махачкала",Русский — Родной Английский — B1 — Средний Испанский — A2 — Элементарный Итальянский — C1 — Продвинутый,"Занятость: полная занятость, частичная занятость",500 $ на руки,Ноябрь 1999 — по настоящее время24 года 7 месяцев
344,1 год,Москва,Мужчина,26 лет,Высшее образование,"Московский энергетический институт (Национальный исследовательский университет), Москва",Русский — Родной Английский — C2 — В совершенстве,"Занятость: полная занятость, частичная занятость, стажировка",40 000 ₽ на руки,Сентябрь 2018 — Сентябрь 20181 месяц
345,1 год,Черкесск,Мужчина,34 года,Высшее образование,Скггта,Русский — Родной,Занятость: полная занятость,25 000 ₽ на руки,Октябрь 2012 — Сентябрь 20131 год
346,7 лет,Ижевск,Мужчина,28 лет,Образование,,Русский — Родной Английский — B1 — Средний,Занятость: полная занятость,160 000 ₽ на руки,Сентябрь 2019 — по настоящее время4 года 9 месяцев
347,12 лет,Москва,Мужчина,48 лет,Высшее образование,Хабаровский Государственный Технический Университет,Английский — C2 — В совершенстве,Занятость: полная занятость,130 000 ₽ на руки,Октябрь 2008 — Февраль 20123 года 5 месяцев
348,10 лет,Сыктывкар,Мужчина,34 года,Высшее образование (Магистр),"Сыктывкарский государственный университет, Сыктывкар",Русский — Родной Немецкий — B1 — Средний,Занятость: полная занятость,30 000 ₽ на руки,Август 2017 — по настоящее время6 лет 10 месяцев
349,7 лет,Санкт-Петербург,Мужчина,31 год,Неоконченное высшее образование,"Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики, Санкт-Петербург",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа",25 000 ₽ на руки,Июль 2016 — по настоящее время7 лет 11 месяцев
350,7 лет,Липецк,Мужчина,31 год,Высшее образование,"Липецкий государственный педагогический университет, Липецк",Русский — Родной Английский — A1 — Начальный Немецкий — A1 — Начальный,"Занятость: полная занятость, частичная занятость, проектная работа",40 000 ₽ на руки,Ноябрь 2016 — по настоящее время7 лет 7 месяцев
351,4 года,Краснодар,Мужчина,26 лет,Среднее специальное образование,Сургутский профессиональный колледж,Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа",200 000 ₽ на руки,Февраль 2023 — по настоящее время1 год 4 месяца
352,20 years,Omsk,Male,41 year,Higher education,"Омский государственный университет им. Ф.М. Достоевского, Омск",Russian — Native English — C1 — Advanced,"Employment: full time, part time",5 000 € in hand,February 2021 — currently3 years 4 months
353,10 лет,Грозный,Мужчина,27 лет,Высшее образование (Бакалавр),"Грозненский государственный нефтяной институт им. академика М.Д. Миллионщикова, Грозный",Русский — Родной Английский — B2 — Средне-продвинутый Арабский — A1 — Начальный Французский — A1 — Начальный Чеченский — C2 — В совершенстве,Занятость: полная занятость,100 000 ₽ на руки,Январь 2014 — по настоящее время10 лет 5 месяцев
354,1 год,Краснодар,Мужчина,44 года,Неоконченное высшее образование,ТРТУ,Русский — Родной,Занятость: полная занятость,20 000 ₽ на руки,Март 2009 — Май 20101 год 3 месяца
355,3 года,Томск,Мужчина,26 лет,Неоконченное высшее образование,"Томский государственный университет систем управления и радиоэлектроники, Томск",Русский — Родной Английский — A2 — Элементарный,"Занятость: полная занятость, частичная занятость",120 000 ₽ на руки,Май 2021 — по настоящее время3 года 1 месяц
356,6 лет,Липецк,Мужчина,31 год,Высшее образование,"Липецкий государственный технический университет, Липецк",Русский — Родной Английский — B1 — Средний,"Занятость: полная занятость, частичная занятость, проектная работа, стажировка",60 000 ₽ на руки,Август 2017 — по настоящее время6 лет 10 месяцев
357,11 лет,Москва,Женщина,31 год,Высшее образование,"Московский государственный университет печати им. И. Федорова, Москва",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: частичная занятость,35 000 ₽ на руки,Январь 2013 — по настоящее время11 лет 5 месяцев
358,8 лет,Нижний Новгород,Мужчина,29 лет,Среднее специальное образование,НАТК,Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,40 000 ₽ на руки,Март 2016 — по настоящее время8 лет 3 месяца
359,13 лет,Москва,Мужчина,52 года,Высшее образование,"Московский государственный технический университет им. Н.Э. Баумана, Москва",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: частичная занятость, проектная работа",80 000 ₽ на руки,Июнь 2011 — по настоящее время13 лет
360,24 года,Санкт-Петербург,Мужчина,47 лет,Среднее специальное образование,Московский Техникум по Автоматике и Телемеханике,Английский — B2 — Средне-продвинутый,Занятость: полная занятость,45 000 ₽ на руки,Июль 2005 — по настоящее время18 лет 11 месяцев
